word,meaning,translation,source,morphology,root,processes,type,meaning,partial chunk,form,normalized_form
1a,"interjection marking hesitation, agreement, disagreement, etc.",a,Dictionary A,"{""root"":""1a"",""processes"":[]}",1a,-,-,-,-,-,1a
2a,"linking particle, uniting adjectives or descriptive phrases with verbs and nouns, relative sentences to main sentence, etc. (also ya )",a,Dictionary A,"{""root"":""2a"",""processes"":[]}",2a,-,-,-,-,-,2a
-n,form of a following a vowel,n,Dictionary A,"{""root"":""-n"",""processes"":[]}",-n,-,-,-,-,-,-n
ababués,"gone, departed",left quickly,Dictionary A,"{""root"":""abués"",""processes"":[{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CV-"",""normalized_form"":""CV"",""partial_chunk"":""ab""}]}",abués,"{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CV-"",""normalized_form"":""CV"",""partial_chunk"":""ab""}",reduplication,partial reduplication (plural nouns),ab,CV-,ababues
ábak,to consume too much,waste,Dictionary A,"{""root"":""ábak"",""processes"":[]}",ábak,-,-,-,-,-,abak
ábakábak,to be (an) auspicious (time) for formally finalizing a marriage arrangement between the families of the bride and groom (man -),,Dictionary A,"{""root"":""ábak"",""processes"":[{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CVCV-"",""normalized_form"":""CVCV"",""partial_chunk"":""ábak""}]}",ábak,"{""type"":""reduplication"",""meaning"":""partial reduplication (plural nouns)"",""form"":""CVCV-"",""normalized_form"":""CVCV"",""partial_chunk"":""ábak""}",reduplication,partial reduplication (plural nouns),ábak,CVCV-,abakabak
abakáda,alphabet,alphabet,Dictionary A,"{""root"":""abaká"",""processes"":[{""type"":""suffix"",""meaning"":""3pl genitive enclitic"",""form"":""-da"",""normalized_form"":""da""}]}",abaká,"{""type"":""suffix"",""meaning"":""3pl genitive enclitic"",""form"":""-da"",""normalized_form"":""da""}",suffix,3pl genitive enclitic,-,-da,abakada
abalá,shoulder,shoulder,Dictionary A,"{""root"":""abalá"",""processes"":[]}",abalá,-,-,-,-,-,abala
abála,"be busy or occupied; to annoy, be a disturbance (man -)",busy,Dictionary A,"{""root"":""abála"",""processes"":[]}",abála,-,-,-,-,-,abala
abalayán,"co-parent-in-law, i.e. the relationship holding between the parents of the bride and those of the groom (term of address and reference)",parent-in-law,Dictionary A,"{""root"":""abalayán"",""processes"":[]}",abalayán,-,-,-,-,-,abalayan
sanaabalayán,the parents of the bride and groom (collectively),parent-in-laws,Dictionary A,"{""root"":""sanaabalayán"",""processes"":[]}",sanaabalayán,-,-,-,-,-,sanaabalayan
abaníco,fan,fan,Dictionary A,"{""root"":""abaníco"",""processes"":[]}",abaníco,-,-,-,-,-,abanico
ábang,"rent, interest",rent,Dictionary A,"{""root"":""ábang"",""processes"":[]}",ábang,-,-,-,-,-,abang
