,part_of_speech,meaning_english,meaning_filipino,sample_bolinao,sample_english,upos,word
a'lo,n,"Pestle, a rounded piece of wood about five inches in diameter and six feet long used to pound or grind substances in a mortar or thresh rice in a trough.",Halo.,Kustoy byat nansi a'lonman'ipambayo kon irik.,Thepestlethat I am using to pound unhusked rice in the mortar has the right weight.,NOUN,
a'nak,n,"Referring to specific children individually, not just a group.",Mga anak.,Si Ligaya a kaka sa sarba konran syam nin a'nak na ni Gorio.,Ligaya is the oldest of Gorio's nine children.,NOUN,
a'nem,n,"Six, the number following five.",Anim.,A'nem ray salay nan manok.,The chicken had six eggs.,NOUN,
a'pat,n,Four.,Apat.,Nagbakasyon ako nin a'pat nin awro.,I took a vacation for four months.,NOUN,
a'rong,n,Nose.,Ilong.,Say a'rong ran Pilipino ket ambo' tuloy nin masarpit.,The noses of Filipinos are not too pointed.,NOUN,
a'song,n,A large wooden or stone bowl shaped mortar used with a pestle for pounding grains such as rice or corn.,Lusong.,Binabayo ra a irik saa'songangga sin byas ana.,They pounded the unhusked rice in themortaruntil it was husked rice.,NOUN,
a'su-a'song,n,Small wooden or stone mortar.,Almires.,Pambaywan yan rikado aa'su-a'song.,Thesmall mortaris for pounding spices.,NOUN,
aabriwan,n,"A place in something where it can be opened such as a door, window or mouth of something.",Bukasan.,,,NOUN,
aadyan,n,A hiding places.,Kublihan; taguan; pagtaguan.,"Piikapan ya tana sawanin nin duka' a uispirito tan dudimunyo, tan aadyan yan sarban klasin nikasama' tan duka' a mumanuk-manok tan uayep.","It is now just the residence of evil spirits and demons, and the hiding place of all kinds of filthy and evil birds and animals.",NOUN,
aak,n,The powder or small pellet like excrement of wood boring beetles or wasps.,Maanay.,"Si kayo nin aak, kai yayna magwa' usaren.",The wood that is termite eaten cannot be used for anything.,NOUN,
aanakan,n,The uterus.,Utero.,,,NOUN,
abab,n,Theshell of a coconut.,Bao.,"Kaaram-aram, inmadi ya si pag'ong saabab.","Promptly, the turtle hid in thecoconut shell.",NOUN,
ababo,adj,"Lack of depth in knowledge, understanding, commitment, etc.",Mababaw.,Ababoa ranom nan ilog ta maka'ti sa baybay.,The water in the river is shallow for it is low tide in the sea.,ADJ,
ababwen,vo,To make something shallow.,Babawan.,Ababwen moya tamo' a kalyen moyon ubot.,Just make the pit you are digging shallow.,VERB,
abagat,n,Southwestern direction.,Timog-kanluran.,Mapres yayabagatnin awit nay marges nin rapeg.,Thesouthwest windblows hard bringing strong rain.,NOUN,
abagayen,vo,To appreciate something.,Halaga.,,,VERB,
abaho,inf,Used as a warning to watch out for something falling.,Abaho.,Umno sarayabaho?,How many willget off(from the bus)?,VERB,
