BONTOK WORD,PART OF SPEECH,DEFINITION,PRONUNCIATION,ROOT,AFFIX ,MORPHOLOGICAL PHENOMENA,EXAMPLE SENTENCE,SENTENCE TRANSLATION,VARIATIONS,PLURAL FORM,NOTES,
+ak,Pronoun,I; first person singular nominative clitic pronoun.,/ak/,N/A,N/A,N/A,Esang angkhay nan inárak.,I only got one.,N/A,N/A,First Person Singular,+ak
+da,Pronoun,Their,/da/,N/A,N/A,N/A,Ken daida na?,Is this theirs?,N/A,N/A,Third Person Plural,+da
+en,Particle,Show what someone said or thought.,/en/,N/A,N/A,N/A,Kinwàniken sàtakot omey.,"I said, ""Let's go"".",N/A,N/A,N/A,+en
+et,Adverb,"A particle frequently occurring in imperative sentences, or proposals for immediate action.",/et/,N/A,N/A,N/A,Mangan tako et na.,Let's eat now.,+t,N/A,Adverb of Time,+et
+et,Conjunction,A conjunction frequently linking the bases of a sequence sentence in which the second base occurs immediately after the first. It also links the bases of some circumstance result sentences.,/et/,N/A,N/A,N/A,Wàdas Ballong et pito nan pinateyna.,Ballong was there and he killed seven.,+t,N/A,Subordinating Conjunction,+et
+ka,Pronoun,"Second person minimal
pronoun ; you (singular )",/ka/,N/A,N/A,N/A,Umey ka kenda antik.,Go to my aunt's.,N/A,N/A,Second Person Singular,+ka
+kami,Pronoun,We (excluding you); first person exclusive plural clitic nominative pronoun.,/ka.mí/,N/A,N/A,N/A,Kan cha kami ay takho.,"For us, the human race.",N/A,N/A,First Person Plural,+kami
+ko,Pronoun,"First person minimall, pronoun; I",/ko/,N/A,N/A,N/A,"Inpey ko nan kamatis isnan
fintana ta cha't maloom.",I put the tomatoes in the window and they ripened.,+k,N/A,First Person Singular,+ko
+mi ,Pronoun,"First person non-minimal pronoun; we, excluding you; our, excluding your.",/mi/,N/A,N/A,N/A,Chakami ai i-Fallig.,"We, from Barlig.",N/A,N/A,First Person Plural,+mi
+mo,Pronoun,Second person minimal pronoun; you; your,/mo/,N/A,N/A,N/A,Inmey mo ngen inala di?,Did you go and get it?,N/A,N/A,Second Person Singular,+mo
+na,Pronoun,"Third-person minimal pronoun: he, she, it, his, hers, its.",/na/,N/A,N/A,N/A,Sia nangiyali si na?,Is he the one brought this here?,+a,N/A,Third Person Singular,+na
+ta,Pronoun,"Second person minimal pronoun ;
us",/ta/,N/A,N/A,N/A,Ta alan nan samfag mo.,Let's get your bag.,N/A,N/A,First Person Plural,+ta
+tako,Pronoun,"We (all), our (all); first person inclusive clitic pronoun, nominative and genitive.",/ta.ko/,N/A,N/A,N/A,Maseyep takoam-in.,Let's all sleep.,N/A,N/A,First Person Plural,+tako
+yo,Pronoun,Second person nonminimaI pronoun,/yo/,N/A,N/A,N/A,Umey yo alan nan samfag ko.,Go and get my bag.,N/A,N/A,Second Person Plural,+yo
