Iloko,English
pangersonal,personal
panagtagikukua,possessive
siak,i
kaamo,knowledge
sika,you
dakami,we
dakayo,you
isuda,they
isuna,he
datayo,we
ko,my
tatangko,my father
lapismo,your pencil
mamangmo,your older sister
na,his
tamborna,his drum
ipakaammo,to let you know
makastrek,can go inside
you,your
agbuya,to watch
agdengngeg,listening
agaprus,to touch
agraman,to taste
tarakenyo,your pet
agpinta,to pain
abisbisekleta,riding a bike
agsipsipilyo,brushing teeth
uminom,to drink
gatas,milk
umabak,to win
sala,dance
pabuya,performance
balay,house
ay-ayam,toy
mula,plant
kabailo,playmate
pamilia,family
sago,tapioca pearl
salog,floor
goto,porridge
agikit,to laugh
masikog,pregnant
gita,creamy
ina,mother
alog,river
gasat,luck
kagat,bite
mapa,map
lokasion,location
distansia,distance
direksion,direction
sango,front
likod,back
makaanges,to breathe
agsisinnarak,to gather
agchachant,to chant
aguyek,to cough
agbahing,to sneeze
agdian,to stay
kannigid,left
kannawan,right
laud,west
daya,east
amianan,north
abagatan,south
ngato,top
baba,bottom
abay,beside
nagbaetan,between
silid-pagadalan,classroom
ridaw,door
tawa,window
lamisaan,table
tugaw,chair
pisara,blackboard
kabinet,cabinet
orasan,clock
silaw,light
kantina,canteen
pagay-ayaman,play area
uno,one
mulagat,to open eyes
salun-at,health
punas,to wipe
tukak,frog
kimmut,last child
utong,string beans
gugot,gums
lanut,rope
uggot,stalk
bukot,back of body
igalut,to tie
ugsa,deer
sugot,to plant
agtrabaho,to work
makipatang,to converse
agsaludsod,to ask a question
agpakada,to say goodbye
sumungbat,to answer
agyamanak,i thank you
nadangran,got hurt
dumawat,to ask for
sangoyo,in front of you
urayennak,wait for me
illbrenak,treat me
inikkannaka,i will give you
mailadawan,can be described
maidasig,can be classified
kabaélak,what i can do
agbisbisikleta,ride a bike
mamaestro,male teachers
mamaestra,female teachers
naganko,my name
kasangaymo,your birthday
kaykayatko,i like
saanko kayat,i don't like
tawenko,my age
aggigianak,i live
nagigalot,tied
birbirukek,i am looking for
tartarimaanen,fixing
gumatgatang,buying
aglablaba,washing clothes
biruken,will look for
agar arado,plowing
intayo,lets go
pagibellengan,for garbage
nagmano,showed respect
aggapgapas,gathering
agpungpungot,pulling hair
makakita,can see
makaraman,can taste
makaiggem,can hold
makaangot,can smell
makangngeg,can hear
pangdengngeg,for hearing
pangraman,for tasting
pangarikap,for touching
pakaus-usaran,make use of
agluglugan,is riding a vehicle
pangpunas,for wiping
panglinis,for cleaning
panglapped,for protection
kurikor,cotton buds
aggapu,coming from
ipakanna,to feed someone
tarakenna,his pet
agkarayam,to crawl
agag agas,treating
agrikos,to walk in a cirle path
agtugaw,to sit
nakadanonda,they arrived
isurat,to write
agaramid,to do
agad adal,studying
ik ikkan,giving
aglaglagto,jump
sabatennak,you greet me
sibugan,to water plants
tumagari,to speak
nudiket,but
pumigsa,to become strong
sumalun at,to become healthy
maiyaplikar,to be applied
nakabaddekka,you stepped on
masapulmo,you need
nalagip mo,you remembered
apankan,you go
agtalinaed,to stay
aglangoy,to swim
agtalinayod,to be connected
mailiwak,i miss
bassi-bassit,little by little
nasursurok,i learned
ubraen,to do
maestra,female teacher
agkaaweng,rhyming
pungto,ending
uni,sound
daniw,poem
kanta,song
iyebkas,to pronounce
kaspangarigan,for example
marunggay,malunggay tree
bantay,mountain
pagal-alaan,to get from
nanang,mother
aglalo,specially
iti,the
masagpawan,cooked with
