Iloko,English
iparis ti patang iti ladawanna babaan ti uged.,match the sentence to its picture below with a line.
kumpletuen ti sarita babaen ti panangisurat ti umno a panagtagikua a pangsandi-a-nagan iti kahon.,complete the sentence by writing the correct possessive pronoun from the box.
pilien ti pangsandi-a-nagan a mangbukel iti patang. timbukelan ti letra ti umno a sungbat.,choose the pronoun that completes the sentence. circle the letter of the correct answer.
adalen ti ladawan. isurat ti umno a pangsandi-a-nagan a mangbukel iti patang.,study the picture. write the correct pronoun that completes the sentence.
ugedan ti pangsandi-a-nagan iti tunggal patang.,underline the pronoun in every sentence.
siak ket agdigdigos nga inaldaw.,i take a shower daily.
dakami ti mangsala ti surtido norte.,we will dance the surtido norte.
dakayo dagiti ubbing a nalalaing nga agsala.,you are the children who are good at dancing.
isuna ni flora a gayyemko.,"she is flora, my friend."
datayo amin ti mangsala ti rabong.,all of us will dance the rabong.
siasino ti mayat a mangidaulonto ti panaglualo?,who wants to lead the game?
"kanayon nga aggigiddan kami a mangan, dakami ket pamilia.","we always eat together, we are a family."
adu ti lamok idiay alog.,there are many mosquitoes at the river.
nagasat idiay maskog nga ina.,the pregnant mother is lucky.
"panangaywan iti tunggal maysa, pagtaengan ken aglawlaw","caring for oneself, home, and environment"
isurat ti tsek iti uged no umno ti ibagbaga ti patang ken no saan.,write a check on the line if the statement is correct and if it is wrong.
ikkan ti tsek no ti ladawan ket makita iti uneg ti pagadalan. ikkan ti ekis no saan.,check if the object is found inside the classroom. cross if not.
sungbatan dagiti sumaganad a saludsod. pilien iti sarita... nga mangibaga ti lokasion.,answer the following questions. choose the word... that tells the location.
ti mapa ket maysa a ladawan a mangipakpakita ti pakabuklan ti maysa a lugar.,a map is a picture that shows the layout of a place.
mangipakita ti kaasideg wenno kaadayo,shows how near or far
ti pisara ket masarakan ti sango ti silid-pagadalan.,the blackboard is found at the front of the classroom.
makita dagiti tugaw iti likod ti silid-pagadalan.,the chairs are seen at the back of the classroom.
adda iti kannawan dagiti tugaw ti bulletin board.,the bulletin board is on the right side of the chairs.
ti tawa ket makita iti laud ti silid-pagadalan.,the window is seen on the west side of the classroom.
masarakan ti kabinet iti amianan ti lamisaan.,the cabinet can be found north of the table.
ti ceiling fan ket adda iti nagbaetan ti dua a silaw.,the ceiling fan is between two lights.
nasken met a maammuan no sadino ti pakasarakan...,it is also necessary to know where to find...
babaen ti panagadal ti distansia ken direksion ket nalaklaka a matarusan ti mapa.,"by studying distance and direction, the map becomes easier to interpret."
kitaen ti lokasion dagiti arwaten ti silid-pagadalan.,look at the location of the parts of the classroom.
nangalaak ti uggot ti unas karabasa.,i got the stalk of a pumpkin
malasin ko ti tugot ti tukak.,i can see the tracks of a frog.
ayanna diay galut a lanut?,where is the tied rope?
pagannurutan: biruken ti kaaweng dagiti naisurat a balikas.,instruction: find the rhyming words.
ikkan ti tsek no dagiti balikas ket agpada ti uni ti ungtoda ken ekis no saan.,put a check if the words have the same ending sound and cross if not.
pilien dagiti balikas nga agpada ti uni ti pungtona.,choose the words that have the same ending sound.
mangisurat iti balikas nga kapada ti uni ti pungtona...,write a word that has the same ending sound as...
"pito, walo... mangantayo ti adobo.","seven, eight... let's eat adobo."
adu ti tukad ti agdan.,the stairs have many steps.
nalinisan diay nasuyod a daga.,the harrowed land was cleaned.
pilien ti epekto dagiti sumaganad a gapu.,choose the effect of the following causes.
pilien ti parte ti patang a mangipakpakita ti epekto.,choose the part of the sentence that shows the effect.
isurat ti gapu ken epekto.,write the cause and effect.
ibaga ti problema wenno solusion ti uneg ti istoria.,tell the problem or solution in the story.
ibaga iti problema ken solusion ti istoria.,state the problem and solution of the story.
denggen ti istoria. sungbatan dagiti saludsod.,listen to the story. answer the questions.
isu daytoy ti nagrugian wenno naggapuan ti maysa a situasion.,this is the origin or source of a situation.
isu ti resulta wenno nagbanagan ti maysa a situasion.,this is the result or consequence of a situation.
masapul a maikkan iti solusion.,needs to be given a solution.
ti nakaited ti sungbat wenno nakaresolba ti problema.,what provided the answer or resolved the problem.
"ribrib dagiti ngipen ni perla, ngamin narawet isuna ti sinam-it.",perla's teeth are rotten because she always eats sweets.
"nagadal a nalding ni mona, isunga nangato ti naalana iti eksamin.","mona studied hard, so she got a high score on the exam."
daras isuna nga napan idiay siled pagadalan.,"immediately, he went to their classroom."
inigganak diay napudot a paryok,i held the hot pot
nabaddekak iti saka ti aso,i stepped on the foot of the dog
nalipatak a inserra ti kulungan,i forgot to close the cage
dimmawat ti tulong ti pulis,asked help from the police
dimmawat iti dispensa ken tinulungan a timmakder,apologized and helped him stand up
imbagana nga isuna ti nakabuong,she confessed that she was the one who broke it
napigsa diay sultip ti pulis.,the police whistle is loud.
kayatko ti kasla puso a puto.,i like the heart-shaped rice cake.
nalinis ti panio ti padi.,the priest's handkerchief is clean.
isurat ti letra ti umno a sungbat.,write the letter of the correct answer.
ipares ti balikas iti ladawanna babaen ti uged.,match the word to its picture with a line.
isurat ti letra ti ladawan a mangrugi ti letra...,write the letter of the picture that starts with the letter...
ipares ti prase iti ladawanna.,match the phrase to its picture.
ipares ti ladawan iti naganna.,match the picture to its name.
istoriaem ti istoria a nabasa.,retell the story that was read.
idrowing iti parte ti istoria a kaykayatmo.,draw the part of the story that you like.
mangaramid iti video nga agis-istoria.,make a video telling the story.
nasapa a nagring dagiti agkabsat.,the siblings woke up early.
napan da bisitaen da lolong ken lolang da.,they went to visit their grandfather and grandmother.
idiay balayda idiay igid ti bantay.,at their house at the edge of the mountain.
nagluto ni lolang ti pammigat da a dinengdeng idiay banga.,"grandmother cooked their breakfast, a dinengdeng in a pot."
nangala ni carding iti sabong ti gumamela nga insagot na kenni lolangna.,carding got a gumamela flower and offered it to his grandmother.
magagaran da unayen a mapan.,they were very eager to go.
naanus ken naayat nga maestra.,a patient and kind teacher.
sangapulo a lamisaan para iti sangapulo nga ubbing.,ten tables for ten children.
agayayam ti sango ti pagaddian.,they play in front of the school.
"iti malem, agbasa ni maestro iti istoria.","in the afternoon, the teacher reads a story."
naragsak dagiti ubbing nga dumdumngeg.,the children are happy listening.
"kalpasan daytoy, oras ti panagawiden.","after this, it's time to go home."
ti kuton ket babassit nga insekto.,the ant is a small insect.
nu magnada ket ariddog a linya.,"when they walk, it's in a long line."
nu maminsan agkarayamda iti saka ken ima.,sometimes they play on the foot and hand.
saan ko kayat a makaasideg ti kuton kaniak.,i don't want the ant to get near me.
nabittak ti lobo ti kubbo a baket.,the balloon of the hunchback woman was popped.
aglaklako ni ben ti labba ken bigao.,ben sells baskets and winnowing baskets.
napunno ti bado iti batia.,the clothes filled the tub.
nangina ti bayad ti bassit a pag-ong.,the price of the small turtle is high.
nabanglo dagiti sabong nga indatonna.,the flowers he offered were fragrant.
nasugat ti tanganko ti buneng a natadem.,my thumb was wounded by the sharp bolo knife.
mayat ti mangan idiay ngato ti bantay.,it's nice to eat on top of the mountain.
singsing a balitok ti maysa a sagutna idi kasangayna.,a gold ring was one of her gifts on her birthday.
isu’t mangtultulong nga agbasa iti adingna.,he is the one helping his younger sibling read.
dakayo’t nakitak nga nagwalis tattay.,you are the ones i saw sweeping earlier.
nabanglo a rosas ti kayat ni rona.,a fragrant rose is what rona wants.
baro a relo ti ginatang ni roy.,roy bought a new watch.
naragsak ti rupa ni rina idi rabii.,rina's face was happy last night.
adda lima a rambutan idlay abay ti atiddog a rangtay.,there are five rambutans beside the long bridge.
awan ti paglinongan ni dudon.,grasshopper has no place to take shelter.
siaayat ni kuton a mangpasangbay.,ant is willing to welcome
ayan dagiti sabong a mapusaksak,where the flowers are blooming
inted ni apo a namarsua,given by the lord creator
impukkawna ti nagan ti anakna.,she called out the name of her child.
naipaktita a nalaing ti pasamak.,the event was shown skillfully.
adda bassit a parte... a saan a naipaktita.,a small part was not shown.
adu a parte... ti saan a naipaktita.,many parts were not shown.
nalaeng nga ubing ni hanna.,hanna is a skillful child.
adda iti uneg ti hawla ti bassit a billit.,there is a small bird inside the cage.
matutudo ti bulan ti hulio.,the month of july is rainy.
isurat ti sungbat idiay uged,write the answer on the line
sungbatan ti umno a balikas,answer with the correct word
agibaga iti bukod a padas,to share one's own experience.
nadangran ti anakko... siakon ti dumawat ti dispensar apo.,my child got hurt... i am the one asking for forgiveness.
"ay! adda ni apong maria, komusta kayo?","oh! grandma maria is here, how are you?"
agyamanak dagiti tulong nga impaayyo kadakami.,thank you for the help you gave us.
addaak ditoy sangoyo... makikaasiak koma a tulungannak.,i am here before you... i humbly ask for you to help me.
kayatko nga agpakada koma a nasayaat kadakayo amin.,i would like to bid you all goodbye properly.
gapu ta aldaw ti kasangaymo...,because it is your birthday.
