Word,English Translation / Meaning,Sentence / Phrase (Kankanaey),Sentence / Phrase (English),POS,662
aag-i,relatives / siblings,Dey daddaagen na san aag-i na.,He is sitting beside his siblings.,NOUN,
aanghel,angels,,,NOUN,
aanito,ghosts,"Enggana edwani , wada ladta mamati si aanito","Until now, some people still believe in ghosts.",NOUN,
aapostol,apostles,Dose amin san aapostol en Apo Dios,The Lord had 12 apostles.,NOUN,
aari,kings,,,NOUN,
aasawa,husbands/wives,,,NOUN,
abak,loss,"Kasiyana, wada di abak ya pangabak talaga san biyag.","It's alright, there is always a loss and win in life.",NOUN,
abaken,to defeat,Han kanan na et kaman na abaken di iliw.,He thought he can defeat missing home.,VERB,
abaten,to meet,Enka abaten iman si inaudim ed terminal tan dey adu awit na.,Go and meet your younger sibling at the terminal because she has so many things she carries.,VERB,
abe,weave,Nalalaing ay man abe san kailyak ay eMayag.,"People from our place, Mayag, are good at weaving.",VERB,
abeh,too,,,ADV,
abek,sleeping mat,Iaplag mu et din abek ta maseyep tako.,Spread the mat out so we can sleep.,NOUN,
abel,Weaved item,Mayat han abel da ed Sagada.,Woven items in Sagada are good.,ADJ,
abes,too,,,ADV,
abiik,spirit,,,NOUN,
abong,shelter,San ab-abong mi ed salulungan et naimanman ay nasapo.,Our shelter in the fields are made well.,NOUN,
abosen,consume,Abosen tako din makan ay inyalin alapo yo anay ta adi masayang.,Let us consume this food brought by your grandma so it won't be wasted.,VERB,
ad-ado,a lot,Ad-ado di ipa-amag da.,They gave us a lot to do.,ADJ,
adak,i don't/ I can't,Tan nay adak kabaelan din dawat da amam,"Because of this, I can’t meet your parents’ demands.",VERB,
adal,education,Esten yo ay maneskwela tan adal lang di maipatawid mi ken dakayo.,Study well as education is the only inheritance we can leave you.,NOUN,
adalen,to learn,Enka adalen ken iyun-am nu sino iyat na ay mandrive.,Go and learn how to drive from your brother.,VERB,
adawag,plea,Pangaasim kuma ay Apo ta dengngem nan adawag ko.,"Please Lord, hear my plea.",NOUN,
addawi,far,Enmey si inam ed addawi ta maidwat na nan laydem.,Your mother went to work from afar to provide for you.,ADV,
addawian,to stay away,Addawian kuma JR din babarkada na tan dey madadael sisya.,I hope that JR stay away from his friends because he is being destroyed.,VERB,
adi,expressing disagreement,Ay adi mabalin ay uray c bigat ka ay amey et?,Can't you go tomorrow instead?,VERB,
adi,no,"Adi, ed sina ak lang.","No, I will just stay here.",ADV,
adi,don't,Adi ka bumala.,Don't go out.,VERB,
ado,many,Anusan tako  latta uray ado nan problema.,Let us still be patient even if there are so many problems.,ADJ,
ado / adu,many,Ad-ado di ipa-amag da.,They gave us a lot to do.,ADJ,
adu,many,Adu da ay emey nakiubla san baey di kasinsin ko.,Many went to work in my cousin's house.,ADJ,
aga,cry,Nay labes agan din anak na edi kinmaan sisya ay amey man-ubla.,His child cried a lot when he left for work.,VERB,
aga,nothing,Aga et di bibiyang ko sa.,I have nothing to do with that anymore.,NOUN,
agadang,to cross,,,VERB,
agadangen,to cross,,,VERB,
agamang,storage,,,NOUN,
agas,cure,Ay talaga ay maga di agas din sakit anay?,Does this sickness really have no cure?,NOUN,
agas,medicine,Enkan lako si agas ed pharmacy.,Go and buy medicine from the pharmacy.,NOUN,
agasak,i will cure,Asam umali ed clinic ta agasak din sugat mu.,Come at the clinic so I will cure your wounds.,VERB,
agasan,to cure,Agasan di doktor din nasakit.,The doctor cures the sick.,VERB,
agasana,he/she will cure,Basta amey ka ken Midwife et agasana sa.,Just go to the midwife and she will cure that.,VERB,
agdan,stairs,Dey naekdag c ading mu san agdan.,Your younger sibling fell of the stairs.,NOUN,
agew,sun/day,Nan kinawadak esna ed nuwani ay agew di ebidensiya ay dakayo di tet-ewa ay pigsak.,My presence here today is proof that you are my true strength.,NOUN,
agi,relative,Inmali nan agi da ed esa ay agew.,Their relative came the other day.,NOUN,
agik,my relative,,,NOUN,
agim,your relative,,,NOUN,
agin,his/her/their relative,Naseweng din agin da antim.,Your aunt's relative is naughty.,NOUN,
agob,foul smell,,,NOUN,
agpos,better,,,ADV,
agsapa,morning,napuskol andap na no ag-agsapa,The for is thick early in the morning.,NOUN,
akan,to give,Ekak itulok jen masharal e talek jen in-akan jo son sikak.,I will not break the trust you have placed in me.,VERB,
akew,steal,Ilam ta baken akew abe di iyat mu.,See to it that you do not steal.,VERB,
akin,whose,Akin gangsa din nakapagtay ed ruwar adey?,Whose gongs are those placed outside?,DET,
aklong,voracious,"Labes aklong di pusa mi, inabos na din daing ed lamisaan.","Our cat is voracious, it consumed the dried fish placed on the table.",ADJ,
aklongan,cravings,,,NOUN,
akoo,smelly,Man-akoo han banda ed kasilyas.,It is smelly by the toilet.,ADV,
alad,fence,Adi yu dadaelen han alad.,Do not destroy the fence.,NOUN,
alado,plow,Enka et man-alado ed payew ta malmalpasan na.,Go and plow the fields right now so it will be finished soon.,VERB,
alaek,i'll get,Alaek pylang na asak isubli c bigat.,I will get these now and return them by tomorrow.,VERB,
alaem,you get,Alaem kanu han inpagtay alapo ay gabyon no sumurot ka ed num-a.,Bring with you the hoe that grandfather left if you go to the fields.,VERB,
alaen,get,Basta ikabil mu ed kwarto asipay sa alaen manung yu nu umali.,Just store it in the room and your brother will get it when he arrives.,VERB,
alaena,he/she will get,Into din sako ta alaena?,Where is the sacks so he will get it?,VERB,
alas,ace,Ay alas din nabatbati ay baraham?,Is ace the card you have left?,VERB,
ali,come,Kaman waday pewek ay umal-ali.,It seems there is a storm that is coming.,VERB,
alikamen,belongings (things),,,NOUN,
alisto,fast,Masapol alisto ka ay mankuti ta adi ka mabati.,You should act fast so you will not be left behind.,ADJ,
am-in,all,Layden da am-in ay wada en sika,They love everything you have.,PRON,
ama,father,sumaa tad babaey da ama,Let’s go home to my father’s house.,NOUN,
amag,do/act,Wada sin ipugaw di amag.,The person does the work,VERB,
amagek,i will do it,Awni ta malpas am-amagek sipay emey ayagan sisya.,Wait for me to finish what I am doing before I will go and call for him.,VERB,
amagem,you do it,Anggay et sa adam paylang mananap si teken ay amagem.,"That's enough, don't find other things to do.",VERB,
amagen,to do,"No kaya tako ay amagen, datako et di mang-amag.","If we are able to do it, let us be the ones to do it.",VERB,
amagena,he/she will do,Amagena kanu si wakas din ipaam-amag kabsat na.,"According to her, she will do what her sibling asked her tomorrow.",VERB,
amak,my father,Indawat amak di biyag na ta wada di wayawaya en datako.,My father offered his life so our democracy could live.,NOUN,
amam,your father,Tan nay adak kabaelan din dawat da amam,"Because of this, I can’t meet your parents’ demands.",NOUN,
aman,his/her father,Ay sik-a nan aman Jay adey?,Are you Jay's father?,NOUN,
amangan,possibility of occurrence,Asam ibaga ken saken nu amangan ya mailam si alapo yo.,Please tell me if you happen to see your grandfather.,AUX,
ames,bath,Amey sisya man-ames ed wanga.,,NOUN,
amey,go,Amey da depapen din tilapya ed wanga.,They will go and catch tilapia in the river.,VERB,
amin,all,Dose amin san aapostol en Apo Dios,The Lord had 12 apostles.,PRON,
ammo,know,Kaman adi ka ammo kanak.,It's like you don't know.,VERB,
ammoem,for you to know,Ammoem asika et itdo ken saen.,"You go and know about it, then teach me hjow.",VERB,
ammoen,to know,Ammu-en tako adi kayman nan kakabagyan tako.,Let us get to know our relatives.,VERB,
ammok,i know,ammok di liknan di baken sikat ay ipugaw.,I know and feel the problems of ordinary citizens.,VERB,
ammom,you know,Ay ammum nu sinun kankanan da ed kawni adey?,Do you know what they are referring to just now?,VERB,
ammon,he/she know (3rd POV),Ammon kadi Ash ay man-uto.,Ash actually knows how to cook.,VERB,
among,gather/together,Man-among tako ed BSU ta ilan tako iyat na si piyasta.,Let us meet up at BSU and plan how the fiesta will be.,VERB,
an-ak,children,Kaat et pay nan an-ak di barkadam?,How many childer does your friend have now?,NOUN,
an-anongos,last child,,,ADJ,
an-anusak,i will be patient,"An-anusak din ugalim, ngem nay naabos ak en.","I very patient with your attitude, but I am already losing it.",VERB,
an-anusan,to be patient,Ngem anusan ta mandan tas esay agew ya kagudwa,"But be patient, because we will walk for a day and a half.",VERB,
anak,child,"Simpli ay biyag di nilayad ko, managtungpal sin napoak ya sin ili tako ta makwani ay nalinteg ay anak, manang-eset ay ib-a ya natulnog ay umili.","I had a simple goal in life: to be true to my parents and our country as an honorable son, a caring brother, and a good citizen.
",NOUN,
anan-ak,children,Dey manpaypayang si danum nan anan-ak mu ed ruwar.,Your children are playing with water outside.,NOUN,
anap,find,man-anap kas oblam asikan pay mangasawa,You look for a job before you get married.,VERB,
anapek,i'll find,Anapek man kyman nan kagasatak.,I will go and find the one for me.,VERB,
anapem,find,Anapem si warren tan sisya mangitdo sin danan,You go find and find Warren to show the way.,VERB,
anapen,to find,Ta ameyak anapen din pusok ay nalitaw idi tinmaynan ka,I will go and find my heart which was lost when you left me.,VERB,
andap,fog,Labes din andap ed sagabanan.,The fog is too thick the other day.,NOUN,
andap,fog,napuskol andap na no ag-agsapa,The for is thick early in the morning.,NOUN,
ando,tall,Nay an-ando et si ading mu nu sika.,Your younger sibling is now taller than you.,ADJ,
ando,tall/long,Kasapulak han ando ay tali.,I need a long rope.,ADJ,
andoando,very tall,Anay ando-ando ka et kayman mu.,"Wow, you are now very tall.",ADJ,
andoando,very tall,Andoando han anos mu.,Your patience is very long.,ADJ,
anggana,until,Sesed-ek sika anggana mantauli ka.,I will wait for you until you come back.,ADP,
angganas,until a specific time,Angganas Sabado lang nan maidwat ko ay mang-ipalpasam sisa.,I can only give you until Saturday to finish that.,ADP,
anggay,enough / that's it,Anggay et sa adam paylang mananap si teken ay amagem.,"That's enough, don't find other things to do.",ADV,
anggey,only,Ay anggey ka si inmali?,Is it only you who came?,ADV,
