Pangasinan Word,Root Word/Lemma,English Equivalent,Part of Speech (POS) Tag
-m,mo,you,PART
-y,-y,"of, by, so",X
a,a,"interjection marking hesitation,
agreement, disagreement, linking particle",INTJ
aaraw,áraw,"advance, spread",V
ababués,bués,"gone, departed",ADJ
abageyen,bagey,to say goodbye,V
ábak,bák,to consume too much,V
ábakábak,bák,formally finalizing a marriage arrangement,V
abakáda,Abakada,alphabet,NOUN
abála,balá,"be busy, occupied",V
abalayán,baláy,co-parent-in-law,NOUN
abálgan,báleg,grown out of,ADJ
abalikuát,kuát,suddenly awakened,V
abalitaan,balita,"news, report",V
ábang,abáng,"rent, interest",NOUN
abaníco,aníco,fan,NOUN
abásto,básto,supplies,NOUN
abawasan,bawás,decrease; lessened,V
ábay,abáy,"side, proximity",NOUN
abayág,bayág,slow,ADV
abebá,bebá,"to lower, let down ",ADJ
abél,abél,cloth,NOUN
abét,abét,to meet ,V
abétabét,abét,"reenactment of Christ’s meeting
with his mother after the
resurrection",NOUN
ábig,ábig,"good, fine, be well",ADJ
abig-laman,abig-laman,"welfare, health",NOUN
abilidád,bilidád,ability,NOUN
abisóg,bisóg,"bloated, puffed up",ADJ
abisuát,bisuát,"mentioned, spread about, leaked news",PART
abitíl,bitíl,"flirty, of loose morals",ADJ
abitlá,bitlá,mentioned,PART
abóbon,bóbon,"agree, consent, approve",V
abóbot,bóbot,"article, things",NOUN
abogádo,bogádo,lawyer,NOUN
abóloy,bóloy,"allow, agree to ",V
aboloyán,bóloy,agreement,NOUN
abóng,abóng,"home, house, dwelling",NOUN
aborído,aborído,"distraught, ill at ease, worried",NOUN
aboróg,aboróg,rash of red spots on skin,V
abosádo,bosádo,throw a tantrum,V
ábot,ábot,to catch up ,V
abracÉtE,abracéte,"to hold someone by grasping the upper
arms",V
abríl,abríl,April,NOUN
abuék,buék,drunk ,ADJ
abúno,abúno,fertilizer,NOUN
ad,ed,"at, in, to, from",ADP
adiós,adiós,goodbye,INTJ
admíra,admíra,to admire,V
adóbo,adóbo,way of preparing meat by cooking ,NOUN
adórno,adórno,"to decorate, garnish",V
aduána,aduána,Bureau of Internal Revenue,NOUN
aeropláno,aeropláno,airplane,NOUN
afición,afición,ambition,NOUN
ag,ag,not ,PART
ag ta ka,ag ta ka,I will not [verb] you (Fixed negative sequence),X
ag to ka,ag to ka,He/She will not [verb] you (Fixed negative sequence),X
aga,ága,not,ADV
agáag,agáag,of light,ADJ
agagá,agága,to miss,ADJ
agága,agága,attracted,V
agakala,agkán,not you,PRON
agamang,agamang,crab,NOUN
agamáng,agamáng,salted shrimp seasoning ,NOUN
aganó,ganó,"soon, not for long ",ADV
agát,agát,ginger,NOUN
agaw,agaw,happened,V
agáy,agáy,indeed,INTJ
agáyep,agáyep,string beans,NOUN
agaylay,agaylay,"very, exceedingly",ADV
agebá,gebá,"destroyed, fallen, collapsed ",ADJ
agél,agél,"zeal, care, conscientiousness, to take care",NOUN
agénté,agénté ,agent,NOUN
ágew,ágew,day,NOUN
ágewágew ,ágew,"daily, every day",ADV
agéyet,agéyet,"mosquito, mosquito bite",NOUN
agi,agi,sibling,NOUN
agí,agí,"alas, ouch",INTJ
ágila,ágila,eagle,NOUN
aginaldó,aginaldó,"Christmas present, to carol, to go asking for presents",NOUN
ágkit,ágkit,sticky wax,NOUN
agnáp,genáp,real,ADJ
ágom,ágom,greedy,ADJ
ágos,ágos,to flow,V
agósto,agósto,August,PROPN
agrikultura,agrikultura,agriculture,NOUN
agtó,agtó,to carry on the head ,V
aguá,aguá,perfume,NOUN
