Tuwali Words,Root Word,,Affixes,,English Translation,Tagalog Translation,Meaning,Part of Speech
,,prefix,infix,suffix,,,,
a-ahhu,ahu,-,-,-,puppies,mga tuta,small dogs,Noun
a-o,a-o,-,-,-,refelction;shadow,repleksyon;anino,"reflected image in water, glass, or a mirror. It can also mean a shadow, especially when describing lengthening shadows or a person’s thin appearance resembling a shadow",Noun
aaga,aga,a-,-,-,many medicine,mga gamot,this word may refer to any herbal plant or medicine used to treat sicknes,Noun
aamm’od,ammod,a-,-,-,elders; ancestors; forefathers; parents,mga nakatatanda; mga ninuno; mga magulang,"people from earlier generations, especially those who created traditions, ways, and places",Noun
aammod da,ammod,a-,-,-da,their parents/elders,nakatatanda nila,their elders; ancestors; forefathers,Noun
aamod na,ammod,a-,-,-na,his/ her parents/elders,niya,his/ her elders; ancestors; forefathers,Noun
aanga,anga,a-,-,-,many faces,maraming mukha,"the front part of the head; includes the eyes, nose, cheeks, mouth and chin; face",Adjectives
aapit,apit,-,-,-,offer,alok,to present somethinf for someone,Verb
aapo,aapo,-,-,-,chant,umawit,to tell a story in song,Verb
aapo'k,aapo,-,-,-k,I chant,umawit ako,I tell stories through songs,
aatna,aatna,a-,-,-,meant / way,kahulugan / paraan,"similar to ""athidi talaga""",Verb
ab-abig,abig,ab-,-,-,"narrative; a story, true, or devised",salysay,"a story, or an account of connected events, experiences, or actions, told either verbally or in writing",Noun
ab-abigon,abigon,ab-,-,-,prophesy,manghula,to prophesy or predict an event or action,Verb
aba,aba,-,-,-,taro,gabi (iba’t ibang uri),a variety of an edible starchy root crop; taro; tuber.,Verb
ababbung,abung,-,-,-,playhouse,bahay-bahayan,playhouse; a small temporary hut,Noun
abade,abade,-,-,-,shawl,alampay; balabal,a triangular piece of clothing,Noun
abak,abak,-,-,-,lose,talo,to lose against someone or something,Verb
abaka,abaka,-,-,-,abaca,abaka,a fruit,Noun
abako,abako,-,-,-,a horde,kawan,group of winged creatures; a horde of something,Adjectives
abakon,abak,-,-,-on,to defeat,talunin,to defeat,Verb
abala,abala,-,-,-,breast part of a fowl,dibdib ng manok,breast part of a fowl,Noun
abang,abang,-,-,-,rent,upa,"to pay money to use it, live in it, or borrow it",Noun
abbat,abbat,-,-,-,approach,lapitan,to go to a particular or specified nearby place,Verb
abbel,abbel,-,-,-,plaster,plaster,to repair terrace walls by adding mud,Verb
abbu,abbu,-,-,-,stop,huminto,to cause something to come to an end,Verb
abig,abig,-,-,-,parable,parabula,a short story; made up to entertain rather than to reprt a real event,Noun
abilod,abilod,-,-,-,swell,bumukol,"to become swollen and reddened, an area of skin is inflamed; welt",Verb
ablan,ablan,-,-,-,loom,habi,"The weaving loom, including all its parts, used in traditional textile production.",Noun
abnul,abnul,-,-,-,swell,bumukol,to swell,Verb
abok,abok,-,-,-,mat,banig/kutson,a mat or a sleeping surface,Noun
abol,abol,-,-,-,loom-woven skirt,bahag/ palda na hinabi sa loom,a traditional skirt woven on a loom,Noun
abono,abono,-,-,-,fertilizer,pataba,substance used to enrich the soil for plant growth,Noun
abu,abu,-,-,-,stop,tama na,expression that limits and minimizes or stopping something or whatever concept  that it modifies,Interjection
abugadu,abugadu,-,-,-,attorney/ lawyer,abogado/ tagapagtanggol,a person that is legally qualified to act for legal matters,Noun
abukadu,abukadu,-,-,-,avocado,abukado,a fruit of the avocado tree,Noun
abul,abul,-,-,-,drive away,paalisin,"to drive away, e.g. small animals, birds",Verb
abulut,abulut,-,-,-,accept,tanggap,to agree ot to accept,Verb
abung,abung,-,-,-,hut / small house,kubo,Simple shelter / dwelling,Noun
abut,abut,-,-,-,hole,butas; lungag; uka,"refers to any opening, gamp, or hollow in a surface",Noun
abuwan,abu,-,-,-wan,sole motive,tanging dahilan,"from the word ""abu"". Expresses the idea that there is only one reason for what someone is doing;",Prepositions
abyang,abyang,-,-,-,tree,puno,"refers to a specific type of a tree whose wood is hard, yellowish, and commonly used for house construction",Noun
abyu,abyu,-,-,-,caress,haplos,"to caress the cheeks of someone, usually only women do this to children or older women",Verb
ad,ad,-,-,-,of,Ng,Preposition / connector,Prepositions
ad-ad’ing,ad’ing,ad-,-,-,fire ant,kuwitib,large red ant that has a painful sting,Noun
ad-adon,ad-ad,-,-,-on,scrub,scrub,"to clean by rubbing, e",Verb
adadawi,dawi,ada,-,-,faraway,malayong-malayo,very distant,Adverb
adaddugam,adug,ad-,-,-am,taking care,nag-aalaga,currently taking care of someone or something,Verb
adagus,dagus,a-,-,-,immediately,agad,to rush; to hasten,Adverb
adal,adal,-,-,-,learn,matuto,to learn; generally refers to a formal mode of learning rather than the traditional mentoring or modeling mode,Verb
adallom,dallom,a-,-,-,deep,malalim,your inside / your depth,Adjectives
adalom,adal,-,-,-om,to learn,matuto,to learn something,Verb
adamayon,adamayon,-,-,-,tree,puno,refers to a specific variety of tree,Noun
adang,adang,-,-,-,step,hakbang,to reach out with foot or hand; to take a step or pace,Verb
adawe,adawe,-,-,-,pine tree,puno ng pino; pino,"a tree variety that produces soft, lightweight firewood",Noun
adawi,dawi,a-,-,-,far,malayo,at or to a great distance,Adverb
aday,aday,-,-,-,ouch!,aray,the expression of sudden or acute pain,Interjection
addi-addi,addi,addi-,-,-,refuse,tanggihan,to be unwilling to act because of disagreement with or dislike of the proposal for action; to refuse,Verb
addu,addu,-,-,-,many,marami,to increase in number,Verb
adi,adi,-,-,-,not,hindi,"the absence, denial, or contradiction of something",Adverb
adi oggan,adi oggan,-,-,-,hardly ever,hindi kadalasan,almost never,Adverb
adi unay,adi unay,-,-,-,barely,halos hindi,only just; scarcely,Adverb
adim,adi,-,-,-m,do not,huwag,you do not / do not (you),Adverb
adin-abu,N/A,-,-,-,extremely,labis,to a very high degree,Adverb
ading,ading na,-,-,-,younger sibling,ading,his /her younger sibling,Noun
adiyak,adi,-,-,-yak,I do not,ayoko,I do not / I will not,Verb
adiyon,adiyon,-,-,-yon,disapprove,hindi aprubahan,to disapprove of something that others do,Verb
ado,ado,-,-,-,weed,damo,to remove grasses from rice paddy and pile against the dike to make paddy mounds during the fallow season; used for planting vegetables,Verb
adol,adol,-,-,-,physical body,katawan,a human body part,Noun
adolnah,adolnah,-,-,-,his/her body,katawan,his/her reason / his/her intention,Noun
adugayyap,adugayyap,-,-,-,scatter,magkalat,"to be scattered everywhere, due to a large number",Verb
adwani,adwani,-,-,-,now,ngayon,at the present time,Adverb
ae,ae,-,-,-,vine,baging,kind of vine used for tying bundles of wood or as a rope for a carabao,Noun
ag-agawat,agawat,ag-,-,-,dream,pangarap,"dreams resulting from memory, not related to omens given by spirit-beings",Verb
ag'i,agi,-,-,-,sibling;brother;sister;cousin,kapatid; pinsan,"a brother, sister, or cousin in the family",Noun
aga,aga,-,-,-,medicine; herbal treatment,gamot; halamang gamot,any herbal plant or medicine used to treat sickness,Noun
aga,aga,-,-,-,heal treat,gamutin ang pagpapagaling,one who treats wth medicine; doctor; healer,Verb
agaag,agaag,-,-,-,squeal,humirit,"to squeal, high piercing sound made by humans or pigs",Verb
agab,agab,-,-,-,peelings;citrus rind,balat; balat ng prutas,The peel or rind of citrus fruit,Noun
agae,agae,-,-,-,swim,lumangoy,to swim; to splash while swimming,Verb
agahil,agahil,-,-,-,crab,alimango,a small crab commonly found in creeks,Noun
agalin,agalin,-,-,-,transfer,paglipat,to transfer; a process of change,Verb
agam,agam,-,-,-,you can,maaari kang,giving permission to one other person,Verb
agamid,agamid,-,-,-,pull,hilahin,to bring something to oneself; draw towards one's self,Verb
agat,agat,-,-,-,spicy;pungent;acrid,maanghang,"taste of food that is spicy or pungent, such as peppers or ginger.",Noun
agayap,agayap,-,-,-,green beans,sitaw,"legume similar to a string bean, but shorter.",Noun
agayup,agayup,-,-,-,charm; amulet,anting-anting,"charm carried by boys to attract girls, which may be a house-lizard, female hair, or special blessed grass.",Noun
agba,agba,-,-,-,ritual,ritwal,ritual usually performed to discover the cause of illness or to find out who stole a lost item.,Noun
agbigbigat,bigat,agbig-,-,-,every morning,bawat umaga,every morning / daily in the morning,Noun
agdan,agdan,-,-,-,stairway,hagdan,"steps that ascend, a stairway connecting different levels of a building.",Noun
agdaw,agdaw,-,-,-,fish,isda,type of fish,Noun
aggayam,aggayam,-,-,-,domestic animal; quadruped,alagang hayop; hayop na may apat na paa,"domestic animals that are typically raised for food, work, or companionship.",Noun
Agge,Agge,-,-,-,not,hindi,Negation or denial of being or resembling something,Adverb
aggeyak,agge,-,-,-yak,bring me,dalhin mo sakin,bring me / for me,Verb
aggub,aggub,-,-,-,grass,damo,"grass variety with medicinal properties, commonly applied to cuts or wounds.",Noun
aggudung,aggudung,-,-,-,freshwater snails,suso,"long, edible snails that live in rice fields and rivers; shells may also be used as lime for betelnut chewing",Noun
agid,agid,-,-,-,sharpen,patalasin,"to sharpen to a point, e",Verb
agihid,agihid,-,-,-,alley; alleyway,eskinita,"refers to the space or gap between a fence and a building, often around a house or granary.",Noun
agihit,agihit,-,-,-,bean,sitaw,a variety of bean grown for food,Noun
agimayu,agimayu,-,-,-,gust front,unang bugso ng hangin mula sa malakas na pagbuhos ng ulan,"sound of the wind that is often heard just before a thunderstorm, signaling the approaching storm.",Noun
Aginaya,Aginaya,-,-,-,Aginaya,Aginaya,"female personal name, often used for characters in folklore or oral literature.",Noun
agip,agip,-,-,-,cut,gupitin,to align teeth by cutting,Verb
agnap,agnap,-,-,-,betelnut leaves,bunga,Leaves from mature betelnut palms,Noun
agob-ob,agob-ob,-,-,-,wattle,wattle,"walls of huts, particularly when made of woven reeds",Noun
agol,agol,-,-,-,hesitate,mag-atubil,"hesitation or cautiousness in doing something, often due to fear of consequences or uncertainty",Noun
agongaang,agongaang,-,-,-,splash,tilamsik,the splashing sound of water falling,Verb
agpaysu,agpaysu,-,-,-,real,totoo,actually existing as a thing or occurring in fact; not imagined or supposed,Adjectives
agpaysu,agpaysu,-,-,-,TRUE,totoo,in accordance with fact or reality,Adjectives
agpo,agpo,-,-,-,edge; boundary,hangganan; dulo,the outer boundary or edge of a village or settlement,Noun
Agtap,Agtap,-,-,-,Agtap,Agtap,"dwelling place of the god Punholdayyan, considered part of the spiritual realm.",Noun
agtu,agtu,-,-,-,carry,buhat,to carry something on the head,Verb
agub,agub,-,-,-,stink,mabaho,to become smelly; to have an offensive odor,Verb
agum,agum,-,-,-,covet,mag-imbot,to be greedy; describes one who wants everything for himself,Verb
aguteet,aguteet,-,-,-,reek,amoy,for something to smell; a bad smell that is very strong; stink,Verb
agyaman,agyaman,-,-,-,thankfully,nagpapasalamat,to thank / to be thankful,Adverb
Ah?,Ah?,-,-,-,huh,ano?,an expression of being clueless or questioning,Interjection
ah'el,ah'el,-,-,-,murmur,bulungan,to make the sound of water current,Verb
ah'in,ah'in,-,-,-,salt,asin,refers to the substance salt,Noun
ah'ol,ah'ol,-,-,-,envy,inggit,to be envious; to be jealous,Verb
ahal,ahal,-,-,-,barrier,harang,barrier of sticks placed in water outlets of rice paddies; used to prevent fish from swimming into the next field,Noun
