word,syllables,meaning,tag,english,filipino
a,a,introductory exclamation,DET,introductory,pambungad
mikia,mi-ki-a,say,DET,say,sabihin
a,a,grammatical functor marking attribution,DET,inverse,kabaligtaran
abaka,a-ba-ka,the abaca plant fiber or cloth,NOUN,manila hemp,maynila hemp
mayabak,ma-ya-bak,to do something until morning or become morning,VERB,break,break
mayayabak,ma-ya-ya-bak,to do something until morning or become morning,VERB,break,break
meyabak,me-ya-bak,to do something until morning or become morning,VERB,break,break
abak,a-bak,morning,NOUN,morning,umaga
abala,a-ba-la,bother worry,VERB,bother,mag -abala
makiyabe,ma-ki-ya-be,together stay,VERB,together,magkasama
miabeyabe,mi-a-be-ya-be,together stay,VERB,together,magkasama
abe,a-be,friend companion,NOUN,friend,kaibigan
kayabe,ka-ya-be,skill of making and keeping,NOUN,embroidery,pagbuburda
abisuan,a-bi-su-an,to warn someone,VERB,to,sa
maabisu,ma-a-bi-su,to be warned,VERB,to,sa
payabisu,pa-ya-bi-su,have someone warned,VERB,have,mayroon
iabisu,i-a-bi-su,take something as watning,VERB,receive,tumanggap
abisu,a-bi-su,warning or subpoena,NOUN,warning,babala
manabisu,ma-na-bi-su,one who warns,NOUN,alert,alerto
ablasan,ab-la-san,to imitate,VERB,to,sa
makiablasan,ma-ki-ab-la-san,answer back,VERB,answer,sagot
mablas,mab-las,to imitate,VERB,to,sa
minablas,mi-nab-las,to imitate,VERB,to,sa
pakiqablas,pa-ki-qab-las,to imitate,VERB,to,sa
payablasan,pa-yab-la-san,to imitate,VERB,to,sa
inablas,i-nab-las,to imitate,VERB,to,sa
ayablas,a-yab-las,to imitate,VERB,to,sa
makayablas,ma-ka-yab-las,to imitate,VERB,to,sa
meyablas,me-yab-las,to imitate,VERB,to,sa
pamanablas,pa-ma-nab-las,to imitate,VERB,to,sa
pekaqablas,pe-ka-qab-las,to imitate,VERB,to,sa
ablas,ab-las,what one gives in return for something else or echo or revenge,NOUN,answer,sagot
kakablas,ka-kab-las,what one gives in return for something else or echo or revenge,NOUN,answer,sagot
abo,a-bo,leftover food,NOUN,leftover,tira
manabono,ma-na-bo-no,to fertilize,VERB,to,sa
paabono,pa-a-bo-no,have something fertilized,VERB,have,mayroon
pakiabono,pa-ki-a-bo-no,share fertilizer,VERB,share,ibahagi
abril,ab-ril,the month of April,NOUN,may,mayo
absang,ab-sang,swarmed on by tiny insects called absang,VERB,thysanoptera,thysanoptera
absang,ab-sang,gnat fruitfly very small insect,NOUN,midge,midge
magpakaabsiq,mag-pa-ka-ab-siq,to eat until one is full,VERB,gorge,gorge
absiq,ab-siq,satisfied,ADJ/ADV,satisfied,nasiyahan
manabu,ma-na-bu,become ash,VERB,become,maging
abuan,a-bu-an,get ashes on shelf,VERB,bank,bangko
abuan,a-bu-an,scour,VERB,scour,sakurap
abu,a-bu,ashes,NOUN,ashes,ashes
abukadu,a-bu-ka-du,avocado,NOUN,avocado,abukado
pagabugaduan,pa-ga-bu-ga-du-an,submit something to lawyers,VERB,remit,remit
abugadu,a-bu-ga-du,lawyer,NOUN,lawyer,lawyer
abuludan,a-bu-lu-dan,to debone or to put a crease in,VERB,fillet,fillet
manabusadu,ma-na-bu-sa-du,take unfair advantage,VERB,take,kumuha
maabusadu,ma-a-bu-sa-du,take unfair advantage,ADJ/ADV,take,kumuha
abusadu,a-bu-sa-du,one who takes unfair advantage,NOUN,bandit,bandit
abut,a-but,reach,VERB,reach,maabot
abut,a-but,hand something,VERB,hand,kamay
abut,a-but,understand,VERB,understand,maunawaan
abyas,ab-yas,milled rice,NOUN,milled,milled
magaqabyas,ma-ga-qab-yas,rice dealer,NOUN,rice,bigas
akasya,a-kas-ya,acacia,NOUN,acacia,acacia
akbakan,ak-ba-kan,to put something on a spit,VERB,rip,rip
maakbak,ma-ak-bak,to be spitted,ADJ/ADV,to,sa
akbak,ak-bak,a spit made of bamboo for barbecuing,NOUN,eod,eod
akbung,ak-bung,explosion toy gun or bamboo piston device used to make fruit,NOUN,shoot,shoot
agakbung,a-gak-bung,shoot a popgun or a nail and tube device for exploding caps,VERB,primer,panimulang aklat
akit,a-kit,earnings,NOUN,earnings,kita
aklat,ak-lat,book,NOUN,book,libro
aklatan,ak-la-tan,library,NOUN,library,library
akmulan,ak-mu-lan,swallow something,VERB,swallow,lunukin
inakmul,i-nak-mul,be swallowed,VERB,be,maging
akmulan,ak-mu-lan,throat,NOUN,throat,lalamunan
aksayaq,ak-sa-yaq,extravagant,ADJ/ADV,extravagant,labis -labis
aksidenti,ak-si-den-ti,accident,NOUN,accident,aksidente
mangaksidenti,man-gak-si-den-ti,have an accident,VERB,have,mayroon
mayaksidenti,ma-yak-si-den-ti,hurt in an accident,ADJ/ADV,accidental injury,hindi sinasadyang pinsala
adjaran,ad-ja-ran,to grate or scrape,VERB,rasp,rasp
adjaranungut,ad-ja-ra-nun-gut,coconut grating tool,NOUN,coconut,coconut
pipagadjaran,pi-pa-gad-ja-ran,place for scraping,NOUN,place,lugar
mangadiq,man-ga-diq,pray,VERB,pray,manalangin
pangadiq,pan-ga-diq,pray for something,VERB,pray,manalangin
makiadiq,ma-ki-a-diq,pray together,VERB,pray,manalangin
pakipangadiq,pa-ki-pan-ga-diq,pray together for something,VERB,connect,kumonekta
admirul,ad-mi-rul,starched,ADJ/ADV,starched,starched
pangaladwan,pan-ga-lad-wan,do something a second time,VERB,react,reaksyon
adwaq,ad-waq,two,NUM,two,dalawa
kakadwaq,ka-kad-waq,second,NUM,second,pangalawa
pangalawaq,pan-ga-la-waq,second one,NUM,second,pangalawa
agad,a-gad,straightaway immediately,PROJ,straightaway,diretso
agkat,ag-kat,signal or invitation,NOUN,signal,signal
managkat,ma-nag-kat,to summon or invite or signal,VERB,call,tumawag
pamanagkat,pa-ma-nag-kat,of signals,NOUN,of,ng
agiq,a-giq,spider web,NOUN,spider,spider
mayagiq,ma-ya-giq,full of web,ADJ/ADV,full,puno
managiq,ma-na-giq,to remove cobwebs,VERB,to,sa
aginaldu,a-gi-nal-du,Christmas gift,NOUN,christmas,pasko
agosto,a-gos-to,the month of August,NOUN,fructidor,fructidor
agyang,ag-yang,even though or in spite of,PROJ,although,bagaman
agtal,ag-tal,harvest or gathered produce,NOUN,crop,ani
managtal,ma-nag-tal,to harvest or gather,VERB,reap,ani
agum,a-gum,to associate,VERB,to,sa
agum,a-gum,associate or contact,NOUN,associate,associate
agus,a-gus,current,NOUN,current,kasalukuyan
minagus,mi-na-gus,to sweep away by a current,VERB,fan,fan
agwasinada,ag-wa-si-na-da,a medicinal liquid used to clean wounds,NOUN,lotion,losyon
agyap,ag-yap,cold sore,NOUN,cold,malamig
agyuq,ag-yuq,sufficient,ADJ/ADV,sufficient,sapat
managyuq,ma-nag-yuq,to make something sufficient,VERB,mak,mak
panagyuq,pa-nag-yuq,to make something sufficient,VERB,mak,mak
makaagyuq,ma-ka-ag-yuq,to make something sufficient,VERB,mak,mak
aus,a-us,call mamaus awsan call,VERB,account,account
alak,a-lak,liquor,NOUN,liquor,alak
alakdan,a-lak-dan,scorpion,NOUN,scorpion,scorpion
aladin,a-la-din,a kind of fuelburning lamp,NOUN,arc,arko
alaq,a-laq,none or nothing or sans,PART (neg),nada,nada
walaq,wa-laq,none or nothing or sans,PART (neg),nada,nada
alaqwalaq,a-laq-wa-laq,none or nothing or sans,PART (neg),nada,nada
alaq,a-laq,to lose things,VERB,to,sa
walaq,wa-laq,to lose things,VERB,to,sa
alaqwalaq,a-laq-wa-laq,to lose things,VERB,to,sa
alal,a-lal,someone,NOUN,someone,isang tao
alalay,a-la-lay,prop,NOUN,prop,prop
alalayan,a-la-la-yan,prop or assistive device,NOUN,crutch,crutch
alalay,a-la-lay,maintain or assist,VERB,maintain,panatilihin
alambre,a-lamb-re,wire,NOUN,wire,wire
malalambre,ma-la-lamb-re,caught on a wire,ADJ/ADV,cord,kurdon
alangalang,a-lan-ga-lang,palate or roof of mouth,NOUN,hard palate,hard palate
alas,a-las,in combination with numbers as alas singko,NUM,alphanumeric,alphanumeric
albe,al-be,to dawn on something,VERB,aurora,aurora
albe,al-be,dawn,NOUN,dawn,dawn
albug,al-bug,flood,NOUN,flood,baha
payalbug,pa-yal-bug,to flood,VERB,to,sa
payalbugan,pa-yal-bu-gan,to flood,VERB,to,sa
kaalbug,ka-al-bug,to flood,VERB,to,sa
albugan,al-bu-gan,place where the sun sets,NOUN,sunset,paglubog ng araw
albugan,al-bu-gan,caught by,STAT,caught,nahuli
albul,al-bul,a drying device for fishnets,NOUN,oast,oast
albularyu,al-bu-lar-yu,folk doctor,NOUN,folk,katutubong
alburutu,al-bu-ru-tu,noise or make noise,NOUN/VERB,resound,resound
aldo,al-do,sun or day,NOUN,sun,araw
aldoaldo,al-do-al-do,day to day or everyday,ADJ/ADV,quotidian,quotidian
aliq,a-liq,not,PART (neg),not,hindi
alikabuk,a-li-ka-buk,dust,NOUN,dust,alikabok
maqalikabuk,ma-qa-li-ka-buk,dusty,ADJ/ADV,dusty,maalikabok
manalikabuk,ma-na-li-ka-buk,to add dust to,VERB,sand,buhangin
alili,a-li-li,support,NOUN,support,suporta
manalili,ma-na-li-li,to add support to,VERB,bolster,bolster
alimasag,a-li-ma-sag,spotted crab,NOUN,spotted,batik -batik
alipungaq,a-li-pun-gaq,foot,NOUN,foot,paa
alipungaq,a-li-pun-gaq,maqalipungan from makayalipungaq to,ADJ/ADV,2d,2d
alistu,a-lis-tu,a person who acts skillfully or lively,NOUN,rock,bato
kaqalistuwan,ka-qa-lis-tu-wan,skillful or skillfully,ADJ/ADV,skillful,may kasanayan
kasingalistu,ka-sin-ga-lis-tu,skillful or skillfully,ADJ/ADV,skillful,may kasanayan
pekaqalistu,pe-ka-qa-lis-tu,skillful or skillfully,ADJ/ADV,skillful,may kasanayan
aliwaq,a-li-waq,other,NOUN/ADJ/ADVERB,other,iba pa
alma,al-ma,a female name,NOUN,a,a
almuranas,al-mu-ra-nas,hemorrhoids,NOUN,hemorrhoids,hemorrhoids
almusal,al-mu-sal,breakfast,NOUN,breakfast,almusal
magalmusal,ma-gal-mu-sal,to have breakfast,VERB,to,sa
